support,itemsets,length
0.01562883963237824,frozenset({'10 colour spaceboy pen'}),1
0.01233597090480169,frozenset({'12 message cards with envelopes'}),1
0.017447289526711554,frozenset({'12 pencil small tube woodland'}),1
0.01779132058780164,frozenset({'12 pencils small tube red retrospot'}),1
0.017447289526711554,frozenset({'12 pencils small tube skull'}),1
0.013171474910306187,frozenset({'12 pencils tall tube red retrospot'}),1
0.012581707377008896,frozenset({'12 pencils tall tube skulls'}),1
0.012237676315918808,frozenset({'12 pencils tall tube woodland'}),1
0.012827443849216101,frozenset({'15cm christmas glass ball 20 lights'}),1
0.010910699365999902,frozenset({'20 dolly pegs retrospot'}),1
0.014891630215756622,frozenset({'3 hearts hanging decoration rustic'}),1
0.018774266476630462,frozenset({'3 hook photo shelf antique white'}),1
0.018577677298864698,frozenset({'3 piece spaceboy cookie cutter set'}),1
0.023000933798594386,frozenset({'3 stripey mice feltcraft'}),1
0.011402172310414311,frozenset({'3 traditional biscuit cutters  set'}),1
0.015972870693468325,frozenset({'36 pencils tube red retrospot'}),1
0.012925738438098983,frozenset({'36 pencils tube skulls'}),1
0.023787290509657444,frozenset({'4 traditional spinning tops'}),1
0.015825428810144003,"frozenset({""6 gift tags 50's christmas""})",1
0.016071165282351207,frozenset({'6 gift tags vintage christmas'}),1
0.011058141249324225,frozenset({'6 ribbons empire'}),1
0.04693566619157615,frozenset({'6 ribbons rustic charm'}),1
0.021477367670909717,frozenset({'60 cake cases dolly girl design'}),1
0.030373027964810537,frozenset({'60 cake cases vintage christmas'}),1
0.04069395979751315,frozenset({'60 teatime fairy cake cases'}),1
0.030225586081486216,frozenset({'72 sweetheart fairy cake cases'}),1
0.011107288543765666,frozenset({'abc treasure book box'}),1
0.012139381727035927,frozenset({'advent calendar gingham sack'}),1
0.01671008011008994,frozenset({'aged glass silver t-light holder'}),1
0.011107288543765666,frozenset({'airline bag vintage jet set red'}),1
0.019413181304369195,frozenset({'airline bag vintage tokyo 78'}),1
0.01430186268245933,"frozenset({'airline lounge,metal sign'})",1
0.021035042020936746,frozenset({'alarm clock bakelike chocolate'}),1
0.04816434855261218,frozenset({'alarm clock bakelike green'}),1
0.028013957831621368,frozenset({'alarm clock bakelike ivory'}),1
0.021870546026441243,frozenset({'alarm clock bakelike orange'}),1
0.0384823315476483,frozenset({'alarm clock bakelike pink'}),1
0.05165380645795449,frozenset({'alarm clock bakelike red'}),1
0.013122327615864746,frozenset({'antique glass dressing table pot'}),1
0.01081240477711702,frozenset({'antique glass pedestal bowl'}),1
0.03386248587015285,frozenset({'antique silver t-light glass'}),1
0.017054111171180025,frozenset({'antique silver tea glass engraved'}),1
0.010615815599351255,frozenset({'antique silver tea glass etched'}),1
0.01125473042708999,frozenset({'apple bath sponge'}),1
0.021477367670909717,frozenset({'area patrolled metal sign'}),1
0.07150931341229665,frozenset({'assorted colour bird ornament'}),1
0.0188234137710719,frozenset({'assorted colour mini cases'}),1
0.025458298520666438,frozenset({'assorted colours silk fan'}),1
0.014449304565783654,frozenset({'bag 125g swirly marbles'}),1
0.012188529021477369,frozenset({'bag 250g swirly marbles'}),1
0.045903573008305894,frozenset({'baking set 9 piece retrospot'}),1
0.022853491915270065,frozenset({'baking set spaceboy design'}),1
0.017004963876738586,frozenset({'balloons  writing set'}),1
0.01326976949918907,frozenset({'bath building block word'}),1
0.03307612915908979,frozenset({'bathroom metal sign'}),1
0.010124342654936846,frozenset({'beaded crystal heart pink on stick'}),1
0.01032093183270261,frozenset({'belle jardiniere cushion cover'}),1
0.022067135204207007,frozenset({'beware of the cat metal sign'}),1
0.01867597188774758,frozenset({'bingo set'}),1
